customer_id,sum(purchase_amount)
1580,10.03
9394,10.03
893,10.05
7447,10.06
6336,10.09
6602,10.09
2916,10.15
170,10.19
8940,10.38
6558,10.43
8977,10.46
2556,10.49
5375,10.52
5358,10.52
2876,10.56
4646,10.58
7881,10.59
5984,10.61
2774,10.71
3957,10.73
8038,10.9
9855,10.99
6619,11.05
7256,11.06
2311,11.13
9770,11.2
5555,11.21
6496,11.27
9677,11.31
1261,11.43
664,11.45
5296,11.52
6535,11.53
1809,11.53
3927,11.67
8409,11.74
313,11.76
9991,11.77
8421,11.92
2404,11.96
5235,11.98
1005,11.99
2158,12.04
6381,12.05
798,12.05
1645,12.16
8557,12.2
9641,12.26
1259,12.31
4986,12.4
7940,12.45
9945,12.52
7754,12.65
5184,12.86
1771,13.04
8114,13.12
3464,13.19
2384,13.24
722,13.28
9502,13.37
7895,13.46
2292,13.48
267,13.54
3083,13.58
8932,13.59
8821,13.62
377,13.79
1457,13.83
5297,13.87
9556,13.88
9795,13.93
1868,14.06
198,14.06
9035,14.24
4674,14.3
3648,14.33
706,14.36
5865,14.41
5776,14.45
5901,14.48
3627,14.58
2503,14.62
504,14.64
8116,14.65
2932,14.67
2417,14.67
2886,14.7
2304,14.87
8583,14.95
3121,14.97
1281,15.05
5307,15.24
1181,15.24
137,15.37
3581,15.37
3089,15.4
5782,15.4
7973,15.52
6338,15.52
2969,15.6
6578,15.68
529,15.72
3173,15.77
5343,15.79
8356,15.8
8542,15.87
5949,15.96
4287,16.04
7545,16.05
7889,16.06
4930,16.08
8341,16.09
6057,16.15
8747,16.16
126,16.24
9004,16.27
5489,16.4
4857,16.44
230,16.47
6499,16.49
9612,16.54
9867,16.57
375,16.59
7822,16.59
7577,16.62
3967,16.7
7923,16.74
4256,16.86
4468,16.86
5493,16.91
8822,16.94
2122,17.02
7165,17.08
4839,17.15
4624,17.16
7460,17.3
6289,17.31
4722,17.32
7559,17.37
5535,17.44
6522,17.47
6094,17.48
288,17.49
9514,17.54
7024,17.62
9188,17.68
7588,17.77
7719,17.8
9587,17.87
9225,17.95
3357,18.03
8128,18.17
6445,18.2
7669,18.22
3602,18.23
9074,18.35
5407,18.6
4877,18.69
2789,18.7
2993,18.71
6674,18.86
2299,18.88
8710,18.94
939,18.99
787,19.06
3599,19.24
1592,19.31
913,19.35
3024,19.37
3992,19.45
3499,19.48
6807,19.48
5254,19.61
2714,19.61
6991,19.65
2194,19.66
2907,19.74
9051,19.74
7359,19.77
9725,19.8
6873,19.83
1821,19.93
1571,20.0
2811,20.11
4884,20.17
8678,20.25
6624,20.26
6680,20.31
6350,20.32
8317,20.4
8877,20.47
1807,20.47
1965,20.49
1488,20.6
3492,20.6
5017,20.64
5280,20.66
6794,20.85
6780,20.91
2939,21.02
1189,21.03
4700,21.06
5087,21.07
4110,21.08
176,21.13
3200,21.25
9318,21.33
653,21.33
7105,21.41
5121,21.41
5573,21.42
7009,21.45
2448,21.51
301,21.53
6489,21.54
5207,21.61
4455,21.67
991,21.71
5816,21.87
5634,21.93
3727,21.97
5266,22.01
1141,22.08
5457,22.14
4849,22.14
4105,22.14
1538,22.21
4118,22.32
2428,22.37
5517,22.51
2857,22.52
4040,22.7
1257,22.71
2509,22.73
3397,22.84
6588,22.88
1366,22.9
6393,22.98
7030,22.99
1492,23.01
7569,23.07
2154,23.08
9169,23.1
3913,23.11
8404,23.11
1818,23.17
6212,23.2
6241,23.23
7312,23.32
6532,23.33
1404,23.35
9990,23.46
5879,23.54
8434,23.54
683,23.66
5557,23.74
5877,23.77
3310,23.81
8241,23.89
871,23.95
6132,23.95
4259,24.0
482,24.02
5585,24.06
4127,24.14
4529,24.24
1073,24.26
8391,24.27
4184,24.35
3274,24.4
4728,24.41
9310,24.48
3208,24.49
9286,24.5
9444,24.5
988,24.57
8087,24.57
3166,24.61
7726,24.62
6,24.64
859,24.7
3917,24.72
1318,24.76
6946,24.78
7990,24.82
7429,24.82
960,24.88
4408,24.89
5908,24.95
2003,24.96
869,24.99
8779,25.06
8699,25.07
5132,25.09
2643,25.12
1626,25.28
9175,25.55
6718,25.62
3888,25.65
8939,25.71
4304,25.72
1298,25.73
4441,25.74
6846,25.76
4659,25.81
1710,25.84
5874,25.97
5500,26.07
5673,26.22
7342,26.28
7908,26.36
1468,26.4
9950,26.43
9064,26.45
3509,26.58
5769,26.58
8496,26.77
3306,26.78
7729,26.79
8679,26.82
7272,26.84
7362,26.91
5577,26.93
4926,26.93
9043,27.02
5053,27.03
1108,27.04
6154,27.1
4362,27.25
5575,27.33
7747,27.38
5530,27.4
8871,27.44
7842,27.46
6760,27.51
2469,27.52
2287,27.58
4537,27.59
2736,27.62
5285,27.64
3514,27.78
4221,27.95
4870,27.99
9013,28.05
6186,28.12
100,28.14
2155,28.17
7507,28.17
1863,28.229999999999997
7159,28.28
2844,28.28
4028,28.45
2068,28.45
842,28.53
9426,28.56
6386,28.58
826,28.58
8596,28.67
9775,28.75
4642,28.77
2053,28.92
9656,29.05
2074,29.08
5338,29.09
5965,29.26
1313,29.27
4219,29.39
1305,29.41
6122,29.42
3402,29.43
7247,29.46
7926,29.47
9104,29.6
9876,29.63
235,29.66
9657,29.74
5610,29.76
4087,29.81
7623,29.84
308,29.88
3553,30.0
8625,30.03
4786,30.15
2551,30.24
7809,30.29
4904,30.36
8067,30.41
6083,30.42
129,30.47
7308,30.48
4631,30.88
4467,30.99
8537,31.09
2693,31.09
3073,31.1
1653,31.15
4623,31.16
5318,31.25
4096,31.26
8437,31.27
4815,31.32
8772,31.36
4689,31.5
8792,31.51
4366,31.58
2987,31.68
7066,31.74
6219,31.74
8199,31.78
1586,31.96
3243,32.0
2261,32.01
6937,32.06
5571,32.22
6284,32.22
41,32.24
6418,32.39
8270,32.51
6262,32.51
2251,32.63
4443,32.7
4079,32.78
7199,32.82
660,32.94
2563,33.01
6555,33.03
3836,33.04
6340,33.05
6714,33.13
2881,33.18
7626,33.26
1482,33.26
8410,33.34
2245,33.53
2196,33.58
1028,33.66
4296,33.69
5824,33.7
8795,33.7
3067,33.76
8343,33.76
4932,33.9
6334,34.05
2626,34.1
9586,34.11
1981,34.2
2925,34.26
7564,34.29
117,34.29
748,34.33
9505,34.35
1693,34.36
8250,34.39
6699,34.4
1451,34.44
2558,34.45
2949,34.48
3266,34.51
9121,34.56
39,34.62
5050,34.63
5794,34.71
20,34.75
9932,34.76
32,34.82
9593,34.88
635,34.9
9071,34.91
849,34.92
1487,34.95
1219,34.96
4141,34.97
2794,35.03
896,35.07
3426,35.09
312,35.1
9450,35.13
9282,35.18
5656,35.21
6074,35.21
1901,35.22
7473,35.23
5035,35.23
7026,35.26
3296,35.28
7274,35.34
9642,35.41
4664,35.42
7808,35.43
654,35.51
3269,35.52
2990,35.59
8122,35.68
5588,35.76
2235,35.83
5342,35.83
4559,35.93
7491,36.03
3808,36.06
9364,36.07
6970,36.08
7925,36.2
8894,36.21
4373,36.22
3267,36.28
2220,36.35
998,36.4
7261,36.480000000000004
757,36.49
4023,36.54
3633,36.57
6308,36.6
413,36.6
4146,36.64
7774,36.67
9383,36.68
9329,36.7
9734,36.95
2561,36.96
7022,37.09
5038,37.28
6093,37.33
225,37.41
3295,37.51
9336,37.52
7003,37.62
4334,37.63
2276,37.72
4229,37.79
9888,37.8
1416,37.81
3877,37.88
1784,37.93
8615,37.98
7835,38.1
8495,38.14
8170,38.15
9799,38.15
7162,38.16
3993,38.17
4892,38.35
7051,38.37
7469,38.44
7240,38.6
5084,38.63
5693,38.63
9492,38.77
9790,38.79
5118,38.85
2824,38.86
8848,38.87
9567,38.89
6325,38.93
499,39.1
9528,39.11
3965,39.12
8462,39.18
6084,39.21
2884,39.24
5756,39.28
9099,39.3
1303,39.34
2162,39.34
3757,39.38
1078,39.5
2458,39.53
6590,39.53
2535,39.75
8729,39.76
186,39.77
7605,39.78
9265,39.8
8647,39.84
9570,40.07
9240,40.07
5795,40.11
4805,40.13
7047,40.15
9636,40.17
8232,40.24
3792,40.27
9513,40.28
8611,40.29
9977,40.3
8098,40.37
5570,40.39
5447,40.42
7913,40.57
5581,40.57
3315,40.58
4508,40.62
8539,40.62
5211,40.67
6165,40.68
60,40.7
8013,40.75
2929,41.03
1177,41.04
5263,41.05
4916,41.06
2313,41.07
5210,41.07
4731,41.09
8796,41.11
9590,41.13
3865,41.15
3522,41.17
6164,41.17
8365,41.2
9252,41.21
3783,41.29
6296,41.32
5933,41.55
2611,41.58
3044,41.59
8282,41.62
1439,41.7
8475,41.74
4270,41.75
5389,41.78
8567,41.86
8722,41.87
1440,41.87
9941,41.92
672,41.98
6356,42.29
6622,42.32
9073,42.35
6863,42.4
711,42.4
1934,42.43
9838,42.44
3191,42.52
6068,42.63
4484,42.74
3830,42.75
5818,42.88
3409,42.91
9658,43.0
1349,43.07
4934,43.1
8079,43.11
1327,43.12
8515,43.13
4346,43.15
8074,43.29
2191,43.33
8769,43.43
9110,43.49
1084,43.53
2323,43.62
2743,43.68
7348,43.68
4854,43.68
1891,43.68
1019,43.86
9606,43.91
9975,44.02
6598,44.03
4077,44.03
2010,44.07
35,44.13
2809,44.19
5008,44.26
2999,44.27
8992,44.29
9525,44.3
3908,44.31
6321,44.37
192,44.38
9868,44.39
618,44.41
431,44.51
7158,44.52
2100,44.54
8190,44.55
7220,44.6
9684,44.66
2807,44.67
4310,44.7
9929,44.71
2145,44.82
237,44.9
2640,44.96
6585,44.98
3023,45.07
8366,45.18
3608,45.23
1732,45.25
6049,45.3
5582,45.35
670,45.53
3302,45.55
6815,45.62
8021,45.62
6355,45.65
5114,45.69
5276,45.72
2341,45.76
2527,45.8
9967,45.81
5510,45.88
7157,45.89
2414,45.93
3557,45.95
546,45.96
1900,45.980000000000004
8775,45.99
2136,46.14
3328,46.21
4610,46.26
8080,46.29
9877,46.33
8886,46.41
5608,46.47
7903,46.5
8445,46.51
3600,46.51
1853,46.63
9805,46.65
8726,46.71
5482,46.8
8819,46.82
6934,46.85
8950,46.93
3421,47.07
3796,47.1
111,47.1
589,47.12
4150,47.16
4002,47.28
7213,47.31
6702,47.33
3696,47.45
2830,47.53
8149,47.54
4138,47.62
8829,47.67
1766,47.73
8455,47.77
33,47.87
4013,47.99
7723,48.05
8853,48.07
4860,48.07
9910,48.11
1159,48.12
1760,48.15
4291,48.3
4814,48.3
2425,48.31
953,48.42
9800,48.53
1499,48.6
8338,48.63
561,48.63
6099,48.67
442,48.67
3712,48.73
3637,48.79
6881,48.79
5891,48.81
8424,48.84
9473,49.03
4910,49.15
4501,49.18
3240,49.2
1454,49.23
4355,49.38
1240,49.4
8258,49.42
3313,49.48
7119,49.49
4622,49.6
6250,49.64
9885,49.79
9638,49.8
8604,49.9
2020,49.96
3338,50.01
6958,50.08
4733,50.11
8659,50.13
4480,50.16
4974,50.17
1038,50.23
454,50.24
6644,50.269999999999996
9731,50.36
3482,50.36
3387,50.42
3979,50.47
3181,50.49
2223,50.55
6857,50.56
4702,50.58
7516,50.59
4411,50.68
7211,50.73
7437,50.81
3735,51.07
5486,51.07
1978,51.21
2707,51.22
7848,51.24
8205,51.26
269,51.29
7638,51.42
5269,51.44
5148,51.46
